Time,Amount,Note
"12/9/19, 11:08 AM",7 oz.
"12/9/19, 3:08 AM",6 oz.
"12/6/19, 5:20 PM",7 oz.
"12/6/19, 10:21 AM",6.5 oz.
"12/5/19, 4:54 PM",7 oz.
"12/5/19, 10:58 AM",7 oz.
"12/4/19, 3:36 PM",6 oz.
"12/4/19, 11:43 AM",8.5 oz.
"12/3/19, 3:31 PM",5 oz.
"12/3/19, 10:31 AM",5.5 oz.
"12/2/19, 7:30 PM",2.5 oz.
"12/2/19, 7:26 PM",5 oz.
"12/2/19, 10:52 AM",7 oz.
"11/25/19, 5:43 PM",3 oz.
"11/25/19, 3:35 PM",5.5 oz.
"11/25/19, 10:42 AM",8 oz.
"11/22/19, 3:59 PM",5.5 oz.
"11/22/19, 11:42 AM",8.5 oz.
"11/21/19, 6:35 PM",7 oz.
"11/21/19, 10:34 AM",8 oz.
"11/20/19, 2:36 PM",6.5 oz.
"11/20/19, 10:49 AM",8.5 oz.
"11/19/19, 10:51 PM",4 oz.
"11/19/19, 2:57 PM",6 oz.
"11/19/19, 10:57 AM",7 oz.
"11/18/19, 9:50 PM",8.5 oz.
"11/18/19, 11:37 AM",9 oz.
"11/16/19, 8:02 PM",5.5 oz.
"11/15/19, 10:28 PM",8 oz.
"11/15/19, 2:29 PM",7 oz.
"11/14/19, 4:10 PM",7 oz.
"11/14/19, 11:10 AM",7 oz.
"11/13/19, 4:01 PM",3 oz.
"11/13/19, 12:15 PM",10 oz.
"11/12/19, 2:54 PM",6 oz.
"11/12/19, 10:54 AM",8 oz.
"11/11/19, 4:34 PM",5.5 oz.
"11/11/19, 10:54 AM",5.5 oz.
"11/9/19, 11:16 PM",7 oz.
"11/8/19, 3:15 PM",10 oz.
"11/8/19, 10:51 AM",9.5 oz.
"11/7/19, 3:32 PM",8 oz.
"11/7/19, 10:54 AM",8 oz.
"11/6/19, 3:23 PM",6.5 oz.
"11/6/19, 10:49 AM",7.5 oz.
"11/5/19, 10:22 PM",3 oz.
"11/5/19, 2:51 PM",6 oz.
"11/5/19, 10:52 AM",8 oz.
"11/4/19, 8:25 PM",4 oz.
"11/4/19, 2:52 PM",7 oz.
"11/4/19, 10:56 AM",7 oz.
"11/3/19, 7:37 PM",3 oz.
"11/1/19, 3:09 PM",6 oz.
"11/1/19, 11:10 AM",8 oz.
"10/31/19, 3:30 PM",6 oz.
"10/31/19, 11:07 AM",8 oz.
"10/30/19, 4:29 PM",4 oz.
"10/30/19, 10:52 AM",8 oz.
"10/29/19, 3:30 PM",3.5 oz.
"10/29/19, 10:57 AM",7 oz.
"10/28/19, 2:52 PM",6 oz.
"10/28/19, 10:53 AM",8 oz.
"10/27/19, 7:55 PM",3.5 oz.
"10/25/19, 2:57 PM",7 oz.
"10/25/19, 10:48 AM",7.5 oz.
"10/24/19, 3:23 PM",5.5 oz.
"10/24/19, 10:53 AM",7 oz.
"10/23/19, 2:45 PM",7 oz.
"10/23/19, 10:43 AM",10 oz.
"10/22/19, 2:54 PM",5.5 oz.
"10/22/19, 10:54 AM",7.5 oz.
"10/21/19, 3:32 PM",3 oz.
"10/21/19, 10:51 AM",8 oz.
"10/18/19, 2:54 PM",7 oz.
"10/18/19, 10:51 AM",9.5 oz.
"10/17/19, 2:51 PM",6.5 oz.
"10/17/19, 10:52 AM",8.5 oz.
"10/16/19, 3:27 PM",8 oz.
"10/16/19, 10:55 AM",8.5 oz.
"10/15/19, 10:56 AM",8.5 oz.
"10/14/19, 2:52 PM",6.5 oz.
"10/14/19, 10:49 AM",9 oz.
